0.778,61.0,3.756,0.96,278.0,0.0,0.32,0.32,1.93,0.0,1.0
0.372,101.0,5.114,1.59,1028.0,0.18,0.14,0.14,3.47,0.21,1.0
0.276,485.0,9.821,0.51,2259.0,0.184,0.06,1.23,1.36,0.19,1.0
0.137,40.0,3.537,0.31,191.0,0.0,0.31,0.63,3.18,0.31,1.0
0.135,40.0,3.537,0.31,191.0,0.0,0.31,0.63,3.18,0.31,1.0
0.0,15.0,3.0,0.0,54.0,0.0,0.0,1.85,0.0,0.0,1.0
0.164,4.0,1.671,0.64,112.0,0.054,0.96,1.92,3.85,0.0,1.0
0.0,11.0,2.45,0.0,49.0,0.0,0.0,1.88,0.0,0.0,1.0
0.181,445.0,9.744,2.0,1257.0,0.203,0.0,0.61,1.23,0.3,1.0
0.244,43.0,1.729,0.71,749.0,0.081,0.0,0.19,1.67,0.38,1.0
0.462,6.0,1.312,0.96,21.0,0.0,0.0,0.0,3.84,0.96,1.0
0.663,11.0,1.243,0.77,184.0,0.0,0.0,0.38,1.16,0.25,1.0
0.786,61.0,3.728,1.04,261.0,0.0,0.34,0.34,2.09,0.0,1.0
0.0,7.0,2.083,0.9,25.0,0.0,0.0,0.9,2.72,0.9,1.0
0.357,24.0,1.971,2.85,205.0,0.0,5.35,0.71,3.21,0.0,1.0
0.572,55.0,5.659,1.27,249.0,0.063,1.27,1.27,1.7,0.42,1.0
0.428,31.0,4.652,2.83,107.0,0.0,0.0,0.94,1.88,0.0,1.0
1.975,95.0,35.461,2.11,461.0,0.37,0.0,0.0,0.0,0.0,1.0
0.455,4.0,1.32,0.92,70.0,0.0,0.0,1.11,3.15,0.18,1.0
0.055,91.0,3.509,1.91,186.0,0.496,0.63,1.59,2.22,0.0,1.0
0.729,9.0,3.833,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,66.0,2.569,1.57,2259.0,0.046,0.0,0.76,2.09,0.15,1.0
0.809,12.0,4.857,0.0,34.0,0.0,2.94,2.94,0.0,0.0,1.0
0.667,5.0,1.131,1.75,69.0,0.0,1.16,1.16,1.16,0.0,1.0
0.392,22.0,5.466,0.0,82.0,0.196,0.0,0.0,0.0,0.0,1.0
0.25,66.0,2.565,1.57,2258.0,0.046,0.0,0.76,2.09,0.15,1.0
0.392,22.0,5.466,0.0,82.0,0.196,0.0,0.0,0.0,0.0,1.0
0.368,12.0,2.611,0.0,47.0,0.0,0.0,0.0,3.33,1.66,1.0
0.352,11.0,4.0,0.0,36.0,0.0,3.33,0.0,0.0,0.0,1.0
0.091,66.0,2.687,1.3,129.0,0.0,0.65,0.65,1.3,0.65,1.0
0.886,10.0,1.966,0.0,59.0,0.0,0.0,0.0,3.52,0.0,1.0
2.112,11.0,3.909,0.0,43.0,0.0,3.03,0.0,0.0,0.0,1.0
0.0,11.0,1.39,2.7,89.0,0.091,0.27,1.89,3.51,0.0,1.0
0.0,5.0,1.7,0.0,17.0,0.302,0.0,0.0,4.83,0.0,1.0
0.0,30.0,3.826,0.68,264.0,0.0,0.0,0.0,2.04,0.0,1.0
1.543,6.0,2.777,0.0,25.0,0.0,0.0,0.0,5.12,0.0,1.0
0.873,12.0,4.142,0.0,29.0,0.0,2.94,2.94,0.0,0.0,1.0
0.488,78.0,5.431,2.43,239.0,0.244,0.48,1.46,2.43,0.48,1.0
0.963,61.0,3.1,0.97,186.0,0.0,0.48,0.48,1.46,0.0,1.0
0.75,121.0,3.851,1.25,285.0,0.0,0.41,0.41,2.08,0.0,1.0
0.207,30.0,2.132,0.61,226.0,0.207,0.0,0.61,2.76,0.0,1.0
0.671,12.0,4.0,0.0,28.0,0.0,2.94,2.94,0.0,0.0,1.0
0.711,12.0,4.0,0.0,28.0,0.0,2.94,2.94,0.0,0.0,1.0
0.426,4.0,1.283,0.92,68.0,0.0,0.0,1.11,3.15,0.18,1.0
0.813,38.0,2.145,0.26,339.0,0.036,0.26,0.52,1.82,0.26,1.0
1.318,130.0,5.301,1.51,774.0,0.068,0.0,0.45,4.07,0.0,1.0
0.01,12.0,1.733,1.09,442.0,0.167,0.0,1.57,4.54,0.06,1.0
0.17,8.0,1.468,1.99,94.0,0.0,4.97,0.0,3.48,0.0,1.0
0.325,193.0,5.891,1.46,3040.0,0.756,0.25,0.05,3.22,0.05,1.0
0.278,40.0,3.887,0.66,898.0,0.23,0.26,0.0,3.51,0.06,1.0
0.0,12.0,2.75,3.84,33.0,0.0,0.0,1.92,1.92,0.0,1.0
0.498,30.0,3.254,2.19,179.0,0.332,1.09,0.0,2.19,0.73,1.0
0.244,43.0,1.732,0.7,750.0,0.071,0.0,0.19,1.67,0.38,1.0
0.198,17.0,3.833,1.26,69.0,0.596,0.0,0.0,0.0,0.0,1.0
0.5,30.0,3.259,2.2,176.0,0.333,1.1,0.0,2.2,0.73,1.0
1.478,30.0,2.0,2.17,106.0,0.0,1.08,0.0,1.08,0.0,1.0
0.615,59.0,3.318,2.09,146.0,0.061,0.0,0.0,3.66,1.04,1.0
0.0,8.0,3.642,5.06,51.0,0.0,0.0,0.0,2.53,0.0,1.0
1.501,61.0,2.777,1.36,200.0,0.0,0.45,0.45,1.36,0.0,1.0
0.669,121.0,3.837,1.68,284.0,0.0,0.42,0.42,2.1,0.0,1.0
0.0,66.0,8.586,0.0,249.0,0.0,0.0,0.0,1.77,0.59,1.0
0.175,11.0,1.294,1.89,66.0,0.0,0.23,0.23,7.1,0.0,1.0
0.0,8.0,1.442,0.46,75.0,0.0,1.39,1.39,0.93,0.93,1.0
0.048,15.0,1.411,2.73,96.0,0.048,0.34,0.68,3.42,0.68,1.0
0.019,34.0,1.714,3.01,180.0,0.019,0.0,1.32,4.1,0.0,1.0
2.205,34.0,3.184,1.32,121.0,0.0,1.98,0.0,1.32,0.0,1.0
0.589,47.0,4.85,1.95,194.0,0.294,0.48,1.46,0.97,0.48,1.0
0.5,3.0,1.214,1.47,17.0,0.0,0.0,0.0,5.88,1.47,1.0
1.053,66.0,3.884,1.23,303.0,0.351,2.15,0.0,5.53,0.0,1.0
0.0,59.0,4.548,0.0,141.0,0.1,0.0,0.0,0.0,0.0,1.0
0.537,287.0,72.5,3.79,290.0,0.0,0.0,1.26,2.53,2.53,1.0
0.877,61.0,3.4,1.06,187.0,0.0,0.53,0.53,1.6,0.0,1.0
0.807,121.0,3.849,1.34,281.0,0.0,0.44,0.44,2.24,0.0,1.0
0.298,13.0,2.156,1.38,110.0,0.223,0.92,0.46,2.76,0.46,1.0
0.486,78.0,5.13,2.41,236.0,0.243,0.48,1.44,2.41,0.48,1.0
1.366,245.0,26.5,0.94,318.0,0.0,2.83,0.0,0.94,0.0,1.0
0.165,16.0,2.325,1.18,100.0,0.082,0.0,0.0,4.14,0.0,1.0
0.437,45.0,3.675,1.26,1066.0,0.234,0.37,0.18,2.96,0.0,1.0
0.132,15.0,1.65,0.62,175.0,0.0,0.83,1.67,2.09,0.2,1.0
0.0,5.0,1.666,0.0,10.0,0.338,0.0,0.0,5.26,0.0,1.0
1.431,29.0,4.071,1.11,114.0,0.0,0.0,0.0,5.55,0.0,1.0
0.197,280.0,5.038,1.9,519.0,0.0,0.23,0.0,2.38,0.23,1.0
0.495,8.0,1.525,0.0,61.0,0.0,2.91,0.0,1.45,0.0,1.0
0.724,9.0,3.071,1.28,43.0,0.0,1.28,1.28,2.56,0.0,1.0
0.834,27.0,5.13,0.0,118.0,0.0,0.0,0.0,0.0,0.0,1.0
0.571,64.0,4.63,1.4,213.0,0.214,1.86,1.4,0.93,0.46,1.0
0.061,20.0,1.775,2.3,158.0,0.061,0.38,1.15,2.69,0.0,1.0
0.268,26.0,2.815,1.58,107.0,0.0,0.79,0.0,3.96,0.0,1.0
0.096,144.0,3.353,1.21,845.0,0.085,0.2,0.4,1.14,0.0,1.0
0.0,23.0,3.8,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0
1.083,140.0,4.974,1.68,194.0,0.333,0.56,2.24,3.93,1.12,1.0
0.322,193.0,6.1,1.5,3038.0,0.764,0.26,0.05,3.25,0.05,1.0
0.613,763.0,7.3,1.53,2453.0,0.532,0.22,0.14,3.43,0.03,1.0
0.612,763.0,7.3,1.53,2453.0,0.531,0.22,0.14,3.43,0.03,1.0
0.082,12.0,3.4,2.31,102.0,0.823,0.0,0.0,2.77,0.0,1.0
0.0,32.0,2.676,0.0,91.0,0.0,0.0,0.0,1.87,0.46,1.0
1.284,61.0,3.639,1.4,313.0,0.0,1.05,0.35,2.11,0.0,1.0
0.736,61.0,2.81,0.86,222.0,0.0,0.43,0.43,1.29,0.0,1.0
0.31,17.0,4.897,0.0,191.0,0.0,0.6,0.0,1.21,0.0,1.0
0.461,19.0,3.166,1.24,114.0,0.527,0.41,0.0,3.73,0.0,1.0
0.38,3.0,1.153,1.41,30.0,0.0,2.83,4.25,4.96,0.7,1.0
0.662,131.0,10.068,0.0,292.0,0.0,0.64,0.0,2.59,0.0,1.0
